Date,Price,Open,High,Low,Vol.,Change %
6/19/2021,152.79,155.99,158.83,152.79,522.85K,-2.21%
6/18/2021,156.24,166.82,166.82,154.05,800.65K,-6.43%
6/17/2021,166.98,166.64,172.60,164.21,559.30K,0.25%
6/16/2021,166.56,175.04,175.54,166.56,761.46K,-4.97%
6/15/2021,175.28,179.88,179.88,173.57,655.75K,-2.62%
6/14/2021,179.99,170.88,179.99,167.91,800.87K,5.31%
6/13/2021,170.91,162.27,170.91,157.87,573.59K,5.75%
6/12/2021,161.62,163.00,163.62,155.83,653.07K,-0.63%
6/11/2021,162.65,168.65,172.14,161.64,928.57K,-3.10%
6/10/2021,167.85,172.77,172.77,165.08,879.03K,-2.58%
6/9/2021,172.29,160.39,172.29,154.89,1.14M,7.31%
6/8/2021,160.56,161.09,161.42,150.27,1.42M,-0.83%
6/7/2021,161.91,176.51,181.34,161.91,1.04M,-8.15%
6/6/2021,176.28,172.96,178.64,172.96,677.22K,1.90%
6/5/2021,173.00,178.57,183.39,171.89,846.15K,-3.18%
6/4/2021,178.69,193.54,193.54,172.43,1.13M,-7.39%
6/3/2021,192.95,186.97,195.16,183.89,1.08M,3.07%
6/2/2021,187.20,182.99,189.06,180.35,976.89K,2.33%
6/1/2021,182.93,188.81,189.95,178.84,1.08M,-2.78%
5/31/2021,188.17,168.68,188.17,165.12,1.24M,10.42%
5/30/2021,170.42,163.68,176.85,157.92,1.12M,4.20%
5/29/2021,163.55,177.33,186.27,159.53,1.55M,-7.67%
5/28/2021,177.14,193.98,193.98,169.65,2.12M,-8.18%
5/27/2021,192.93,198.51,205.74,183.80,1.46M,-2.94%
5/26/2021,198.77,184.32,200.69,184.32,1.54M,8.21%
5/25/2021,183.69,185.21,185.21,171.93,1.98M,-0.23%
5/24/2021,184.12,143.22,184.12,143.22,2.49M,29.21%
5/23/2021,142.50,168.96,173.50,127.99,3.85M,-15.86%
5/22/2021,169.37,179.83,181.91,163.48,1.98M,-5.86%
5/21/2021,179.92,210.58,217.18,172.85,3.00M,-15.04%
5/20/2021,211.77,189.91,222.69,182.03,4.27M,13.86%
