Date,Price,Open,High,Low,Vol.,Change %
6/17/2021,0.31,0.31,0.31,0.31,680.67M,-0.53%
6/16/2021,0.31,0.32,0.32,0.31,888.91M,-3.91%
6/15/2021,0.32,0.33,0.33,0.32,1.02B,-2.25%
6/14/2021,0.33,0.32,0.33,0.32,1.31B,1.13%
6/13/2021,0.32,0.31,0.33,0.31,1.04B,3.78%
6/12/2021,0.31,0.32,0.32,0.30,1.22B,-2.06%
6/11/2021,0.32,0.33,0.33,0.31,1.20B,-2.17%
6/10/2021,0.33,0.34,0.34,0.33,1.35B,-4.94%
6/9/2021,0.34,0.33,0.34,0.31,2.07B,4.89%
6/8/2021,0.33,0.33,0.34,0.31,2.91B,-1.41%
6/7/2021,0.33,0.37,0.37,0.33,2.06B,-10.73%
6/6/2021,0.37,0.37,0.37,0.37,1.19B,-0.14%
6/5/2021,0.37,0.38,0.39,0.37,2.40B,-1.21%
6/4/2021,0.38,0.40,0.40,0.36,4.04B,-6.07%
6/3/2021,0.40,0.43,0.43,0.38,5.07B,-5.38%
6/2/2021,0.42,0.37,0.43,0.36,8.35B,14.43%
6/1/2021,0.37,0.32,0.38,0.32,4.49B,13.70%
5/31/2021,0.33,0.30,0.33,0.30,1.90B,7.84%
5/30/2021,0.30,0.30,0.31,0.29,1.51B,-0.32%
5/29/2021,0.30,0.31,0.32,0.29,2.02B,-2.73%
5/28/2021,0.31,0.33,0.34,0.31,2.62B,-6.54%
5/27/2021,0.33,0.35,0.35,0.33,1.79B,-5.60%
5/26/2021,0.35,0.35,0.36,0.34,2.39B,2.04%
5/25/2021,0.35,0.36,0.36,0.34,3.71B,-5.07%
5/24/2021,0.36,0.31,0.36,0.30,4.85B,18.98%
5/23/2021,0.31,0.34,0.35,0.27,5.63B,-10.44%
5/22/2021,0.34,0.36,0.36,0.32,3.79B,-4.70%
5/21/2021,0.36,0.40,0.41,0.34,5.24B,-9.69%
5/20/2021,0.40,0.33,0.42,0.32,8.53B,20.24%
5/19/2021,0.33,0.48,0.48,0.32,11.49B,-30.57%
5/18/2021,0.48,0.49,0.50,0.47,3.04B,-2.33%
5/17/2021,0.49,0.51,0.51,0.48,4.27B,-5.25%
5/16/2021,0.51,0.51,0.54,0.47,5.38B,1.26%
5/15/2021,0.51,0.56,0.56,0.51,5.23B,-9.36%
5/14/2021,0.56,0.49,0.57,0.47,10.63B,15.03%
5/13/2021,0.49,0.39,0.50,0.38,10.45B,25.46%
5/12/2021,0.39,0.49,0.52,0.39,5.34B,-21.42%
5/11/2021,0.49,0.45,0.52,0.45,7.55B,9.67%
5/10/2021,0.45,0.57,0.57,0.45,9.68B,-20.81%
5/9/2021,0.57,0.64,0.67,0.46,26.07B,-10.54%
5/8/2021,0.64,0.68,0.73,0.64,11.39B,-7.51%
5/7/2021,0.69,0.58,0.69,0.54,12.58B,18.44%
5/6/2021,0.58,0.65,0.65,0.57,8.55B,-11.66%
5/5/2021,0.66,0.64,0.67,0.59,19.08B,17.23%
5/4/2021,0.56,0.44,0.59,0.41,21.52B,27.31%
5/3/2021,0.44,0.38,0.44,0.38,6.44B,18.01%
5/2/2021,0.37,0.39,0.39,0.37,5.09B,-4.61%
5/1/2021,0.39,0.34,0.39,0.33,7.06B,15.84%
4/30/2021,0.34,0.31,0.34,0.31,4.04B,10.73%
4/29/2021,0.30,0.32,0.32,0.30,4.15B,-6.02%
4/28/2021,0.32,0.27,0.33,0.27,13.42B,19.17%
4/27/2021,0.27,0.27,0.28,0.27,3.37B,0.67%
4/26/2021,0.27,0.25,0.27,0.25,4.88B,7.54%
4/25/2021,0.25,0.27,0.28,0.23,5.73B,-6.92%
4/24/2021,0.27,0.25,0.28,0.24,10.63B,8.62%
4/23/2021,0.25,0.26,0.26,0.21,17.17B,-4.64%
4/22/2021,0.26,0.31,0.31,0.26,11.20B,-14.74%
4/21/2021,0.31,0.32,0.33,0.31,9.47B,-3.78%
4/20/2021,0.32,0.41,0.42,0.31,20.95B,-21.88%
4/19/2021,0.41,0.33,0.41,0.32,20.87B,26.29%
4/18/2021,0.32,0.28,0.35,0.25,18.38B,14.62%
4/17/2021,0.28,0.36,0.36,0.26,24.86B,-23.01%
4/16/2021,0.37,0.18,0.38,0.18,57.51B,99.82%
4/15/2021,0.18,0.12,0.19,0.12,24.61B,50.63%
4/14/2021,0.12,0.09,0.14,0.09,36.68B,29.71%
4/13/2021,0.09,0.07,0.09,0.07,13.60B,32.29%
4/12/2021,0.07,0.07,0.07,0.07,4.30B,-4.60%
4/11/2021,0.07,0.06,0.08,0.06,14.96B,16.36%
4/10/2021,0.06,0.06,0.06,0.06,2.78B,3.48%
4/9/2021,0.06,0.06,0.06,0.06,2.15B,-0.41%
4/8/2021,0.06,0.06,0.06,0.06,1.75B,5.30%
4/7/2021,0.06,0.06,0.07,0.06,4.84B,-8.74%
4/6/2021,0.06,0.06,0.06,0.06,4.76B,7.29%
4/5/2021,0.06,0.06,0.06,0.06,2.64B,4.46%
4/4/2021,0.06,0.06,0.06,0.06,1.57B,3.41%
4/3/2021,0.06,0.06,0.06,0.06,2.06B,-3.59%
4/2/2021,0.06,0.06,0.06,0.06,3.42B,-7.29%
4/1/2021,0.06,0.05,0.07,0.05,15.24B,15.51%
3/31/2021,0.05,0.05,0.05,0.05,1.09B,-0.50%
3/30/2021,0.05,0.05,0.05,0.05,1.40B,-0.15%
3/29/2021,0.05,0.05,0.05,0.05,977.70M,0.87%
3/28/2021,0.05,0.05,0.05,0.05,674.96M,-1.46%
3/27/2021,0.05,0.05,0.05,0.05,1.18B,0.84%
3/26/2021,0.05,0.05,0.05,0.05,873.96M,5.32%
3/25/2021,0.05,0.05,0.05,0.05,1.67B,-0.45%
3/24/2021,0.05,0.05,0.06,0.05,1.67B,-3.61%
3/23/2021,0.05,0.05,0.06,0.05,1.44B,-2.72%
3/22/2021,0.05,0.06,0.06,0.05,1.27B,-4.45%
3/21/2021,0.06,0.06,0.06,0.06,1.20B,-2.29%
3/20/2021,0.06,0.06,0.06,0.06,1.94B,0.94%
3/19/2021,0.06,0.06,0.06,0.06,1.69B,1.72%
3/18/2021,0.06,0.06,0.06,0.06,1.34B,-1.00%
3/17/2021,0.06,0.06,0.06,0.06,1.16B,-1.31%
3/16/2021,0.06,0.06,0.06,0.06,2.00B,2.89%
3/15/2021,0.06,0.06,0.06,0.06,2.41B,-2.59%
3/14/2021,0.06,0.06,0.06,0.06,5.15B,-6.74%
3/13/2021,0.06,0.06,0.06,0.06,3.66B,13.45%
3/12/2021,0.06,0.06,0.06,0.05,1.82B,-1.06%
3/11/2021,0.06,0.06,0.06,0.05,1.65B,0.00%
3/10/2021,0.06,0.06,0.06,0.06,2.39B,-3.69%
3/9/2021,0.06,0.06,0.06,0.06,4.44B,-7.71%
3/8/2021,0.06,0.05,0.06,0.05,7.55B,21.19%
3/7/2021,0.05,0.05,0.05,0.05,1.49B,1.84%
3/6/2021,0.05,0.05,0.05,0.05,2.75B,2.87%
3/5/2021,0.05,0.05,0.05,0.05,1.72B,-0.76%
3/4/2021,0.05,0.05,0.05,0.05,1.94B,-1.16%
3/3/2021,0.05,0.05,0.05,0.05,1.84B,0.26%
3/2/2021,0.05,0.05,0.05,0.05,2.38B,-0.41%
3/1/2021,0.05,0.05,0.05,0.05,2.75B,5.08%
2/28/2021,0.05,0.05,0.05,0.05,2.38B,-3.92%
2/27/2021,0.05,0.05,0.05,0.05,2.27B,-0.74%
2/26/2021,0.05,0.05,0.05,0.05,3.15B,1.10%
2/25/2021,0.05,0.06,0.06,0.05,4.91B,-11.80%
2/24/2021,0.06,0.05,0.06,0.05,11.17B,18.77%
2/23/2021,0.05,0.05,0.05,0.04,5.96B,-10.94%
2/22/2021,0.05,0.06,0.06,0.05,8.42B,-4.09%
2/21/2021,0.06,0.05,0.06,0.05,5.55B,2.88%
2/20/2021,0.05,0.06,0.06,0.05,7.36B,-1.43%
2/19/2021,0.06,0.06,0.06,0.05,6.42B,-7.03%
2/18/2021,0.06,0.05,0.06,0.05,13.02B,19.57%
2/17/2021,0.05,0.05,0.05,0.05,6.17B,-7.57%
2/16/2021,0.05,0.06,0.06,0.05,6.64B,-5.11%
2/15/2021,0.06,0.06,0.06,0.05,11.32B,-10.01%
2/14/2021,0.06,0.07,0.07,0.06,8.23B,-5.38%
2/13/2021,0.07,0.07,0.07,0.07,3.85B,-5.06%
2/12/2021,0.07,0.07,0.07,0.07,7.52B,0.12%
2/11/2021,0.07,0.07,0.07,0.07,6.33B,-3.99%
2/10/2021,0.07,0.07,0.08,0.07,14.16B,3.71%
2/9/2021,0.07,0.08,0.08,0.07,14.60B,-11.21%
2/8/2021,0.08,0.08,0.08,0.07,26.40B,0.09%
2/7/2021,0.08,0.06,0.08,0.06,38.83B,37.06%
2/6/2021,0.06,0.05,0.06,0.05,17.25B,22.79%
2/5/2021,0.05,0.05,0.05,0.05,16.58B,-11.58%
2/4/2021,0.05,0.04,0.05,0.04,48.78B,41.69%
2/3/2021,0.04,0.03,0.04,0.03,12.96B,19.17%
2/2/2021,0.03,0.03,0.03,0.03,11.55B,-9.65%
2/1/2021,0.03,0.04,0.04,0.03,23.87B,-5.69%
1/31/2021,0.04,0.03,0.04,0.03,44.58B,30.25%
1/30/2021,0.03,0.05,0.05,0.02,54.58B,-39.55%
1/29/2021,0.05,0.04,0.07,0.03,109.15B,29.07%
1/28/2021,0.04,0.01,0.04,0.01,-81.54B,386.29%
1/27/2021,0.01,0.01,0.01,0.01,1.12B,-9.74%
1/26/2021,0.01,0.01,0.01,0.01,719.49M,-1.33%
1/25/2021,0.01,0.01,0.01,0.01,997.81M,-4.11%
1/24/2021,0.01,0.01,0.01,0.01,901.54M,1.59%
1/23/2021,0.01,0.01,0.01,0.01,718.92M,0.79%
1/22/2021,0.01,0.01,0.01,0.01,1.15B,4.25%
1/21/2021,0.01,0.01,0.01,0.01,1.26B,-9.88%
1/20/2021,0.01,0.01,0.01,0.01,1.16B,0.12%
1/19/2021,0.01,0.01,0.01,0.01,1.75B,-1.39%
1/18/2021,0.01,0.01,0.01,0.01,1.16B,0.99%
1/17/2021,0.01,0.01,0.01,0.01,1.44B,-1.60%
1/16/2021,0.01,0.01,0.01,0.01,1.64B,-1.46%
1/15/2021,0.01,0.01,0.01,0.01,3.24B,-0.34%
1/14/2021,0.01,0.01,0.01,0.01,4.00B,8.45%
1/13/2021,0.01,0.01,0.01,0.01,1.82B,7.38%
1/12/2021,0.01,0.01,0.01,0.01,2.53B,-8.58%
1/11/2021,0.01,0.01,0.01,0.01,5.84B,-10.19%
1/10/2021,0.01,0.01,0.01,0.01,3.11B,-3.18%
1/9/2021,0.01,0.01,0.01,0.01,3.71B,4.14%
1/8/2021,0.01,0.01,0.01,0.01,2.97B,0.29%
1/7/2021,0.01,0.01,0.01,0.01,3.52B,-6.83%
1/6/2021,0.01,0.01,0.01,0.01,6.11B,4.62%
1/5/2021,0.01,0.01,0.01,0.01,5.43B,2.05%
1/4/2021,0.01,0.01,0.01,0.01,14.34B,-0.81%
1/3/2021,0.01,0.01,0.01,0.01,29.65B,-5.82%
1/2/2021,0.01,0.01,0.01,0.01,46.33B,84.89%
1/1/2021,0.01,0.00,0.01,0.00,3.02B,21.23%
12/31/2020,0.00,0.00,0.00,0.00,929.81M,0.98%
12/30/2020,0.00,0.00,0.00,0.00,1.12B,3.05%
12/29/2020,0.00,0.00,0.00,0.00,1.07B,-2.47%
12/28/2020,0.00,0.00,0.00,0.00,1.07B,1.26%
12/27/2020,0.00,0.00,0.00,0.00,1.84B,0.77%
12/26/2020,0.00,0.00,0.00,0.00,1.70B,-1.14%
12/25/2020,0.00,0.00,0.00,0.00,1.66B,-0.25%
12/24/2020,0.00,0.00,0.00,0.00,1.98B,21.49%
12/23/2020,0.00,0.00,0.00,0.00,2.67B,-16.63%
12/22/2020,0.00,0.00,0.00,0.00,2.68B,-5.51%
12/21/2020,0.00,0.00,0.01,0.00,10.37B,2.91%
12/20/2020,0.00,0.00,0.00,0.00,10.00B,18.16%
12/19/2020,0.00,0.00,0.00,0.00,1.38B,1.70%
12/18/2020,0.00,0.00,0.00,0.00,1.41B,3.80%
12/17/2020,0.00,0.00,0.00,0.00,3.42B,8.80%
12/16/2020,0.00,0.00,0.00,0.00,547.91M,6.80%
12/15/2020,0.00,0.00,0.00,0.00,273.70M,-0.72%
12/14/2020,0.00,0.00,0.00,0.00,297.57M,-1.04%
12/13/2020,0.00,0.00,0.00,0.00,374.40M,3.15%
12/12/2020,0.00,0.00,0.00,0.00,335.35M,2.84%
12/11/2020,0.00,0.00,0.00,0.00,325.29M,-1.00%
12/10/2020,0.00,0.00,0.00,0.00,268.43M,-1.65%
12/9/2020,0.00,0.00,0.00,0.00,442.19M,-0.60%
12/8/2020,0.00,0.00,0.00,0.00,521.51M,-4.83%
12/7/2020,0.00,0.00,0.00,0.00,312.93M,-1.45%
12/6/2020,0.00,0.00,0.00,0.00,285.73M,-0.18%
